image,correct_key,Recog_trials.thisRepN,Recog_trials.thisTrialN,Recog_trials.thisN,Recog_trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LandmarkImage.started,Recog_Question.started,Recog_key_resp.started,Recog_key_resp.keys,Recog_key_resp.corr,Recog_key_resp.rt,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Recognition/Incorrect/Landmark26.jpeg,n,0,24,24,24,,,,,,52.29938111701631,52.29938111701631,52.29938111701631,n,1,0.028545649984152988,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark1.jpeg,y,0,25,25,25,,,,,,52.964585591020295,52.964585591020295,52.964585591020295,n,0,0.1882316089759115,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark4.jpeg,y,0,26,26,26,,,,,,53.782972794026136,53.782972794026136,53.782972794026136,n,0,0.1879438989853952,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark35.jpeg,n,0,27,27,27,,,,,,54.59768080001231,54.59768080001231,54.59768080001231,n,1,0.09439224898233078,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark22.jpeg,n,0,28,28,28,,,,,,55.351732605020516,55.351732605020516,55.351732605020516,n,1,0.3238984239869751,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark23.jpeg,n,0,29,29,29,,,,,,56.22518290701555,56.22518290701555,56.22518290701555,n,1,0.20761586600565352,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark40.jpeg,n,0,30,30,30,,,,,,57.021047312999144,57.021047312999144,57.021047312999144,n,1,0.6831385129771661,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark31.jpeg,n,0,31,31,31,,,,,,58.310146931005875,58.310146931005875,58.310146931005875,n,1,0.31123788698459975,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark14.jpeg,y,0,32,32,32,,,,,,59.21968771901447,59.21968771901447,59.21968771901447,n,0,0.09609182400163263,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark20.jpeg,y,0,33,33,33,,,,,,59.908258392009884,59.908258392009884,59.908258392009884,n,0,0.03515679098200053,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark36.jpeg,n,0,34,34,34,,,,,,60.54356837502564,60.54356837502564,60.54356837502564,n,1,0.02341467296355404,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark12.jpeg,y,0,35,35,35,,,,,,61.14978556701681,61.14978556701681,61.14978556701681,n,0,0.15788454801077023,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark35.jpeg,n,0,36,36,36,,,,,,61.91497889801394,61.91497889801394,61.91497889801394,n,1,0.021485517965629697,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark17.jpeg,y,0,37,37,37,,,,,,62.53512717902777,62.53512717902777,62.53512717902777,n,0,0.6750086159736384,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark3.jpeg,y,0,38,38,38,,,,,,63.892249299999094,63.892249299999094,63.892249299999094,n,0,0.279279570968356,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark19.jpeg,y,0,39,39,39,,,,,,64.820046724024,64.820046724024,64.820046724024,n,0,0.1587147459795233,,,449062,001,2023-02-06_13h50.32.411,SEAL_LandmarkRecog,2022.2.4,None,
,,,,,,,,,,,,,,,,,64.99450057800277,67.99814417300513,,,,,,,
