Recog_trials.thisRepN,Recog_trials.thisTrialN,Recog_trials.thisN,Recog_trials.thisIndex,image,correct_key,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LandmarkImage.started,Recog_Question.started,Recog_key_resp.started,text_4.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,19.678043506020913,22.675407219008775,22.675407219008775,space,1.1551675359951332,,,,,243678,001,2023-02-06_13h52.59.415,SEAL_LandmarkRecog,2022.2.4,None,
,,,,,,,,,,,24.912431491015013,24.912431491015013,24.912431491015013,24.912431491015013,,,,,,,
