image,correct_key,Recog_trials.thisRepN,Recog_trials.thisTrialN,Recog_trials.thisN,Recog_trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LandmarkImage.started,Recog_Question.started,Recog_key_resp.started,Recog_key_resp.keys,Recog_key_resp.corr,Recog_key_resp.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,23.199892075994285,26.206932614004472,26.206932614004472,space,161.20053764199838,,,,,,,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark16.jpeg,y,0,0,0,13,,,,,,188.54014777200064,188.54014777200064,188.54014777200064,y,1,6.086049198027467,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark15.jpeg,y,0,1,1,23,,,,,,195.31291574798524,195.31291574798524,195.31291574798524,y,1,58.49275652700453,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark7.jpeg,y,0,2,2,15,,,,,,254.58693139700335,254.58693139700335,254.58693139700335,y,1,1.1790292300283909,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark20.jpeg,y,0,3,3,33,,,,,,256.41527292100363,256.41527292100363,256.41527292100363,y,1,8.11492475803243,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark5.jpeg,y,0,4,4,16,,,,,,265.17241563400603,265.17241563400603,265.17241563400603,y,1,1.0467936440254562,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark1.jpeg,y,0,5,5,25,,,,,,266.81071068599704,266.81071068599704,266.81071068599704,y,1,0.8029499410185963,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark24.jpeg,n,0,6,6,19,,,,,,268.2045198130072,268.2045198130072,268.2045198130072,y,0,0.936800799012417,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark28.jpeg,n,0,7,7,12,,,,,,269.72254794300534,269.72254794300534,269.72254794300534,y,0,13.994750012032455,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark30.jpeg,n,0,8,8,4,,,,,,284.317409855983,284.317409855983,284.317409855983,y,0,1.4290171780157834,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark3.jpeg,y,0,9,9,38,,,,,,286.3782254609978,286.3782254609978,286.3782254609978,y,1,0.8964428500039503,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark11.jpeg,y,0,10,10,10,,,,,,287.9179769799812,287.9179769799812,287.9179769799812,y,1,10.106108389009023,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark27.jpeg,n,0,11,11,6,,,,,,298.6176898519916,298.6176898519916,298.6176898519916,y,0,0.9195069640409201,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark9.jpeg,y,0,12,12,0,,,,,,300.1298432489857,300.1298432489857,300.1298432489857,n,0,4.6324373350071255,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark22.jpeg,n,0,13,13,28,,,,,,305.3531692859833,305.3531692859833,305.3531692859833,n,1,1.3833275780198164,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark31.jpeg,n,0,14,14,31,,,,,,307.3780055969837,307.3780055969837,307.3780055969837,n,1,0.747513031004928,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark18.jpeg,y,0,15,15,7,,,,,,308.78799957298907,308.78799957298907,308.78799957298907,n,0,0.7374556320428383,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark35.jpeg,n,0,16,16,36,,,,,,310.2295130819839,310.2295130819839,310.2295130819839,n,1,0.6546529850165825,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark39.jpeg,n,0,17,17,17,,,,,,311.52262991300086,311.52262991300086,311.52262991300086,n,1,4.08219798700884,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark32.jpeg,n,0,18,18,21,,,,,,316.14357987299445,316.14357987299445,316.14357987299445,n,1,0.9133115990262013,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark14.jpeg,y,0,19,19,32,,,,,,317.6347224279889,317.6347224279889,317.6347224279889,n,0,5.3171736120129935,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark4.jpeg,y,0,20,20,26,,,,,,323.5465045690071,323.5465045690071,323.5465045690071,n,0,4.158908704004716,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark10.jpeg,y,0,21,21,3,,,,,,328.29612087798887,328.29612087798887,328.29612087798887,n,0,3.8676797689986415,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark23.jpeg,n,0,22,22,29,,,,,,332.7524414799991,332.7524414799991,332.7524414799991,n,1,1.0398057540296577,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark38.jpeg,n,0,23,23,5,,,,,,334.37764374600374,334.37764374600374,334.37764374600374,n,1,0.7535512980248313,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark29.jpeg,n,0,24,24,22,,,,,,335.742007488996,335.742007488996,335.742007488996,n,1,22.368911111028865,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark19.jpeg,y,0,25,25,39,,,,,,358.70614881199435,358.70614881199435,358.70614881199435,n,0,2.053758756024763,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark2.jpeg,y,0,26,26,9,,,,,,361.4764990310068,361.4764990310068,361.4764990310068,n,0,6.97227255103644,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark33.jpeg,n,0,27,27,8,,,,,,369.0229990420048,369.0229990420048,369.0229990420048,n,1,0.9175887490273453,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark37.jpeg,n,0,28,28,2,,,,,,370.4776192200079,370.4776192200079,370.4776192200079,n,1,1.5889516870083753,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark12.jpeg,y,0,29,29,35,,,,,,372.6294680509891,372.6294680509891,372.6294680509891,n,0,3.9638842230197042,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark36.jpeg,n,0,30,30,34,,,,,,377.2246446729987,377.2246446729987,377.2246446729987,n,1,0.8894934890267905,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark25.jpeg,n,0,31,31,11,,,,,,378.7049452670035,378.7049452670035,378.7049452670035,n,1,4.457245341007365,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark40.jpeg,n,0,32,32,30,,,,,,383.75864653798635,383.75864653798635,383.75864653798635,n,1,1.3793669480073731,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark17.jpeg,y,0,33,33,37,,,,,,385.6943842769833,385.6943842769833,385.6943842769833,n,0,3.5242464570037555,,856962,001,2023-02-06_13h09.09.423,SEAL_LandmarkRecog,2022.2.4,None,
