image,correct_key,Recog_trials.thisRepN,Recog_trials.thisTrialN,Recog_trials.thisN,Recog_trials.thisIndex,text.started,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LandmarkImage.started,Recog_Question.started,Recog_key_resp.started,Recog_key_resp.keys,Recog_key_resp.corr,Recog_key_resp.rt,text_3.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,44.405702245014254,47.41111892799381,47.41111892799381,space,24.51424470701022,,,,,,,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Correct/Landmark9.jpeg,y,0,0,0,0,,,,,,72.90083404400502,72.90083404400502,72.90083404400502,y,1,11.42325017802068,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Correct/Landmark8.jpeg,y,0,1,1,1,,,,,,85.0697443660174,85.0697443660174,85.0697443660174,y,1,0.9428870520205237,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Incorrect/Landmark37.jpeg,n,0,2,2,2,,,,,,86.73571749601979,86.73571749601979,86.73571749601979,y,0,0.7641685919952579,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Correct/Landmark10.jpeg,y,0,3,3,3,,,,,,88.15659898499143,88.15659898499143,88.15659898499143,y,1,0.6100794459925964,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Incorrect/Landmark30.jpeg,n,0,4,4,4,,,,,,89.39723405701807,89.39723405701807,89.39723405701807,y,0,0.7177820880024228,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Incorrect/Landmark38.jpeg,n,0,5,5,5,,,,,,90.77942987601273,90.77942987601273,90.77942987601273,y,0,0.6563376630074345,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Incorrect/Landmark27.jpeg,n,0,6,6,6,,,,,,92.06604997199611,92.06604997199611,92.06604997199611,y,0,0.39758986298693344,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Correct/Landmark18.jpeg,y,0,7,7,7,,,,,,93.06515561501146,93.06515561501146,93.06515561501146,y,1,0.54507141301292,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Incorrect/Landmark33.jpeg,n,0,8,8,8,,,,,,94.31333565001842,94.31333565001842,94.31333565001842,y,0,0.44568164300289936,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Correct/Landmark2.jpeg,y,0,9,9,9,,,,,,95.3686942520144,95.3686942520144,95.3686942520144,y,1,0.5880691329948604,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
Recognition/Correct/Landmark11.jpeg,y,0,10,10,10,,,,,,96.5347965050023,96.5347965050023,96.5347965050023,y,1,0.6121084940095898,,672776,001,2023-02-06_13h47.41.248,SEAL_LandmarkRecog,2022.2.4,60.09917000374776,
