image,correct_key,Recog_trials.thisRepN,Recog_trials.thisTrialN,Recog_trials.thisN,Recog_trials.thisIndex,text.started,text.stopped,text_2.started,key_resp.started,key_resp.keys,key_resp.rt,LandmarkImage.started,Recog_Question.started,Recog_key_resp.started,text_4.started,Recog_key_resp.keys,Recog_key_resp.corr,Recog_key_resp.rt,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Recognition/Incorrect/Landmark24.jpeg,n,0,19,19,19,,,,,,,114.96956478600623,114.96956478600623,114.96956478600623,114.96956478600623,n,1,29.630305181985023,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark13.jpeg,y,0,20,20,20,,,,,,,145.25426616801997,145.25426616801997,145.25426616801997,145.25426616801997,n,0,0.23961446300381795,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark32.jpeg,n,0,21,21,21,,,,,,,146.27493956300896,146.27493956300896,146.27493956300896,146.27493956300896,n,1,0.27399600797798485,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark29.jpeg,n,0,22,22,22,,,,,,,147.1061322290043,147.1061322290043,147.1061322290043,147.1061322290043,n,1,0.6255118249973748,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark15.jpeg,y,0,23,23,23,,,,,,,148.2826742940233,148.2826742940233,148.2826742940233,148.2826742940233,n,0,0.4743359599960968,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark26.jpeg,n,0,24,24,24,,,,,,,149.32619544301997,149.32619544301997,149.32619544301997,149.32619544301997,n,1,0.4422427339886781,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark1.jpeg,y,0,25,25,25,,,,,,,150.3583502859983,150.3583502859983,150.3583502859983,150.3583502859983,n,0,0.45405510198906995,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark4.jpeg,y,0,26,26,26,,,,,,,151.37557393001043,151.37557393001043,151.37557393001043,151.37557393001043,n,0,0.6348554379947018,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark35.jpeg,n,0,27,27,27,,,,,,,152.58965649901074,152.58965649901074,152.58965649901074,152.58965649901074,n,1,0.617612606001785,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark22.jpeg,n,0,28,28,28,,,,,,,153.8188741110207,153.8188741110207,153.8188741110207,153.8188741110207,n,1,0.5288908889924642,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark23.jpeg,n,0,29,29,29,,,,,,,154.87550303601893,154.87550303601893,154.87550303601893,154.87550303601893,n,1,1.2724580920184962,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark40.jpeg,n,0,30,30,30,,,,,,,156.69978381702094,156.69978381702094,156.69978381702094,156.69978381702094,n,1,0.4409761489951052,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark31.jpeg,n,0,31,31,31,,,,,,,157.70053640101105,157.70053640101105,157.70053640101105,157.70053640101105,n,1,1.499029383994639,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark14.jpeg,y,0,32,32,32,,,,,,,159.77767815100378,159.77767815100378,159.77767815100378,159.77767815100378,n,0,0.5412742200132925,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark20.jpeg,y,0,33,33,33,,,,,,,160.88022443299997,160.88022443299997,160.88022443299997,160.88022443299997,n,0,0.8099925719725434,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark36.jpeg,n,0,34,34,34,,,,,,,162.26755507101188,162.26755507101188,162.26755507101188,162.26755507101188,n,1,0.5045018449891359,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark12.jpeg,y,0,35,35,35,,,,,,,163.30871124501573,163.30871124501573,163.30871124501573,163.30871124501573,n,0,1.1721834790077992,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Incorrect/Landmark35.jpeg,n,0,36,36,36,,,,,,,165.04385394000565,165.04385394000565,165.04385394000565,165.04385394000565,n,1,0.8446824889979325,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark17.jpeg,y,0,37,37,37,,,,,,,166.40948292901157,166.40948292901157,166.40948292901157,166.40948292901157,n,0,1.5755486619891599,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark3.jpeg,y,0,38,38,38,,,,,,,168.63158539199503,168.63158539199503,168.63158539199503,168.63158539199503,n,0,0.7580170599976555,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
Recognition/Correct/Landmark19.jpeg,y,0,39,39,39,,,,,,,170.00290025401046,170.00290025401046,170.00290025401046,170.00290025401046,n,0,2.0242093029955868,,,578044,001,2023-02-08_13h39.39.730,SEAL_LandmarkRecog,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,172.04177332902327,175.03664979201858,,,,,,,
