6.6146 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.4422 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1680, 1050]. Using actual size
17.0437 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

17.1085 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fa5a977bc10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fa577347940>, multiSample=False, name='window1', numSamples=2, pos=[420.0, 262.5], screen=0, size=array([3360, 2100]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
17.1087 	EXP 	window1: mouseVisible = True
17.1096 	EXP 	window1: mouseVisible = False
17.1097 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
17.1097 	EXP 	window1: recordFrameIntervals = False
17.2595 	EXP 	window1: recordFrameIntervals = True
17.3308 	WARNING 	t of last frame was 25.12ms (=1/39)
17.4782 	WARNING 	t of last frame was 24.37ms (=1/41)
17.8453 	WARNING 	t of last frame was 23.08ms (=1/43)
18.0134 	WARNING 	t of last frame was 20.06ms (=1/49)
18.0464 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
18.8569 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

